review,rating,date,bank,source,app_version,thumbs_up,scrape_date
lebaa bank,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Can't scan/recognize other banks' Interoperable QR Codes,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,2,6/7/2025
grateful app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
everthing wellbeok,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
nice app 👌,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
why did this app is not screenshot,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it so good app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
جميل,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"less network, specially to make fee for utility purpose",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
simply for used,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
wow keep up,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
its great app but when updating we can't take screen shot please try to fix it,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
good one,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
everything is easy thank you cebe,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
ፈጣን ቀልጣፋ,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
